Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
74	Spectrogram 1	1	12218.652266880	12225.944560231	37.2	64.7
75	Spectrogram 1	1	12410.994285767	12417.335410420	36.0	63.7
76	Spectrogram 1	1	12445.553415125	12451.894539778	37.2	63.4
77	Spectrogram 1	1	12521.329854727	12526.719810682	37.4	63.2
78	Spectrogram 1	1	12624.690186569	12630.080142524	39.9	63.4
79	Spectrogram 1	1	12698.881345008	12703.637188498	46.8	63.2
80	Spectrogram 1	1	12782.112709797	12787.502665751	41.7	63.0
81	Spectrogram 1	1	12815.403614224	12821.110626412	40.2	63.2
82	Spectrogram 1	1	12886.741266569	12892.448278757	42.2	62.8
83	Spectrogram 1	1	12927.324464348	12933.665589001	39.4	63.0
84	Spectrogram 1	1	12965.371212265	12972.346449383	40.4	64.2
85	Spectrogram 1	1	13045.586439124	13051.927563777	46.4	64.4
86	Spectrogram 1	1	13085.535524437	13089.657255462	47.1	63.9
87	Spectrogram 1	1	14714.983105423	14721.007173844	39.2	64.5
88	Spectrogram 1	1	14743.518166361	14748.908122316	41.9	65.4
89	Spectrogram 1	1	14775.223789626	14781.564914279	41.2	65.5
90	Spectrogram 1	1	14813.587593776	14818.977549731	49.3	64.9
91	Spectrogram 1	1	14910.289744732	14917.264981850	42.1	64.7
92	Spectrogram 1	1	14976.554497355	14982.578565775	41.9	62.7
93	Spectrogram 1	1	15016.340627969	15020.779415226	40.7	59.5
94	Spectrogram 1	1	15093.068236269	15099.409360922	42.9	65.9
95	Spectrogram 1	1	15158.064763961	15162.503551218	42.4	63.7
96	Spectrogram 1	1	15187.550993597	15201.184411600	41.6	71.7
97	Spectrogram 1	1	15299.068167351	15304.141067073	37.2	63.9
98	Spectrogram 1	1	15334.895521640	15339.968421362	42.1	65.2
99	Spectrogram 1	1	15372.625213324	15380.234562908	41.4	67.4
100	Spectrogram 1	1	15410.037848776	15415.110748499	41.2	65.2
101	Spectrogram 1	1	15541.938932701	15545.743607493	55.1	63.9
102	Spectrogram 1	1	15583.872381117	15586.725887211	43.6	61.8
103	Spectrogram 1	1	15623.504410198	15628.894366153	44.2	64.5
104	Spectrogram 1	1	15669.160507699	15673.916351188	39.9	62.7
105	Spectrogram 1	1	15706.256086918	15711.011930408	41.7	62.7
106	Spectrogram 1	1	15741.449328742	15747.790453395	42.6	66.2
107	Spectrogram 1	1	15782.032526520	15786.471313777	48.9	63.5
108	Spectrogram 1	1	15822.615724299	15828.322736486	42.9	64.4
109	Spectrogram 1	1	15861.296584681	15866.686540636	49.3	64.4
110	Spectrogram 1	1	15906.952682182	15913.927919300	42.2	63.7
111	Spectrogram 1	1	15948.279364312	15954.937545197	41.2	65.2
112	Spectrogram 1	1	16023.104635216	16030.396928567	42.9	65.5
113	Spectrogram 1	1	16062.102551831	16066.541339088	49.6	63.0
114	Spectrogram 1	1	16081.125925790	16087.467050443	42.6	64.2
115	Spectrogram 1	1	16121.075011103	16128.050248221	42.7	64.5
116	Spectrogram 1	1	16743.000556180	16748.707568368	49.9	64.0
117	Spectrogram 1	1	16771.218560886	16776.608516840	41.9	64.4
118	Spectrogram 1	1	16807.680027640	16813.387039827	46.3	64.2
119	Spectrogram 1	1	16839.068594671	16844.775606859	43.1	62.0
120	Spectrogram 1	1	16877.432398821	16882.505298544	45.6	62.2
121	Spectrogram 1	1	16919.283821530	16924.356721253	44.9	63.9
122	Spectrogram 1	1	16958.281738146	16964.939919031	46.3	63.9
123	Spectrogram 1	1	16997.596710994	17007.108397973	50.3	64.9
124	Spectrogram 1	1	17108.897670099	17115.872907217	42.6	66.2
125	Spectrogram 1	1	17152.334373971	17158.358442391	53.1	64.2
126	Spectrogram 1	1	17249.036524928	17255.060593348	44.4	64.2
127	Spectrogram 1	1	17286.449160380	17291.839116335	53.8	65.2
128	Spectrogram 1	1	17325.764133227	17330.519976717	49.3	64.4
129	Spectrogram 1	1	17363.176768679	17370.152005798	50.8	65.9
130	Spectrogram 1	1	17401.893505543	17410.136967592	42.6	64.7
131	Spectrogram 1	1	17483.694013565	17489.718081986	52.0	65.0
132	Spectrogram 1	1	17526.496604972	17531.886560927	49.3	64.4
133	Spectrogram 1	1	17571.201533775	17578.810883359	42.6	65.0
134	Spectrogram 1	1	17686.292946225	17691.999958413	48.1	63.4
135	Spectrogram 1	1	17748.753024056	17755.728261174	46.1	65.0
136	Spectrogram 1	1	17764.605835688	17768.410510480	54.8	65.0
137	Spectrogram 1	1	17788.385053137	17794.726177790	43.6	66.0
138	Spectrogram 1	1	17825.296022623	17831.003034810	41.6	65.0
139	Spectrogram 1	1	17917.876442555	17923.900510975	44.1	62.7
140	Spectrogram 1	1	17872.854457519	17878.244413474	43.6	63.4
